Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,15 to 49 years old,-,-,46.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,30 to 34 years old,-,-,49.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,35 to 39 years old,-,-,49.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,40 to 44 years old,-,-,45.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,20 to 24 years old,-,-,41.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,45 to 49 years old,-,-,51.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,15 to 19 years old,-,-,28.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,4,Afghanistan,2015,Female,25 to 29 years old,-,-,48.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,15 to 49 years old,-,-,28.8,-,-,Percentage,Country adjusted data,-,UNECE methodology; women aged 15+,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,30 to 34 years old,-,-,30.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
