"","LOCATION","SUBJECT","TIME","Value","Continent"
"1","AUS","Discriminatory Family Code",2019,21.8,"Oceania"
"2","AUS","Restricted Civil Liberty",2019,23.6,"Oceania"
"3","AUS","Restricted Resources and Assets",2014,0,"Oceania"
"4","AUS","Restricted Resources and Assets",2019,4.9,"Oceania"
"5","AUT","Discriminatory Family Code",2019,22.1,"Europe"
"6","AUT","Restricted Civil Liberty",2019,12.1,"Europe"
"7","AUT","Restricted Resources and Assets",2014,0,"Europe"
"8","AUT","Restricted Resources and Assets",2019,4,"Europe"
"9","BEL","Total",2019,11.2,"Europe"
"10","BEL","Discriminatory Family Code",2019,22,"Europe"
"11","BEL","Restricted Civil Liberty",2019,10.3,"Europe"
"12","BEL","Restricted Physical Integrity",2019,8.4,"Europe"
"13","BEL","Restricted Resources and Assets",2014,0,"Europe"
"14","BEL","Restricted Resources and Assets",2019,3.3,"Europe"
"15","CAN","Discriminatory Family Code",2019,26.5,"North America"
"16","CAN","Restricted Civil Liberty",2019,23.5,"North America"
"17","CAN","Restricted Resources and Assets",2014,0,"North America"
"18","CAN","Restricted Resources and Assets",2019,17.4,"North America"
"19","CZE","Total",2019,19.8,"Europe"
"20","CZE","Discriminatory Family Code",2019,27.3,"Europe"
"21","CZE","Restricted Civil Liberty",2019,26.3,"Europe"
"22","CZE","Restricted Physical Integrity",2019,12.8,"Europe"
"23","CZE","Restricted Resources and Assets",2014,0,"Europe"
"24","CZE","Restricted Resources and Assets",2019,11.9,"Europe"
"25","DNK","Discriminatory Family Code",2019,15,"Europe"
"26","DNK","Restricted Civil Liberty",2019,11,"Europe"
"27","DNK","Restricted Resources and Assets",2014,0,"Europe"
"28","DNK","Restricted Resources and Assets",2019,4.8,"Europe"
"29","FIN","Discriminatory Family Code",2019,21.8,"Europe"
"30","FIN","Restricted Civil Liberty",2019,18.3,"Europe"
"31","FIN","Restricted Resources and Assets",2014,0,"Europe"
"32","FIN","Restricted Resources and Assets",2019,3.8,"Europe"
"33","FRA","Total",2019,11.1,"Europe"
"34","FRA","Discriminatory Family Code",2019,27.6,"Europe"
"35","FRA","Restricted Civil Liberty",2019,5.3,"Europe"
"36","FRA","Restricted Physical Integrity",2019,6,"Europe"
"37","FRA","Restricted Resources and Assets",2014,0,"Europe"
"38","FRA","Restricted Resources and Assets",2019,3.6,"Europe"
