"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"AUS","SIGI","RESTRCIVLIB","IDX","A","2019",23.6,
"AUS","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"AUS","SIGI","RESTRRESASSETS","IDX","A","2019",4.9,
"AUT","SIGI","DISCRIMFAMCODE","IDX","A","2019",22.1,
"AUT","SIGI","RESTRCIVLIB","IDX","A","2019",12.1,
"AUT","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"AUT","SIGI","RESTRRESASSETS","IDX","A","2019",4,
"BEL","SIGI","TOT","IDX","A","2019",11.2,
"BEL","SIGI","DISCRIMFAMCODE","IDX","A","2019",22,
"BEL","SIGI","RESTRCIVLIB","IDX","A","2019",10.3,
"BEL","SIGI","RESTRPHYSINTEG","IDX","A","2019",8.4,
"BEL","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"BEL","SIGI","RESTRRESASSETS","IDX","A","2019",3.3,
"CAN","SIGI","DISCRIMFAMCODE","IDX","A","2019",26.5,
"CAN","SIGI","RESTRCIVLIB","IDX","A","2019",23.5,
"CAN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"CAN","SIGI","RESTRRESASSETS","IDX","A","2019",17.4,
"CZE","SIGI","TOT","IDX","A","2019",19.8,
"CZE","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.3,
"CZE","SIGI","RESTRCIVLIB","IDX","A","2019",26.3,
"CZE","SIGI","RESTRPHYSINTEG","IDX","A","2019",12.8,
"CZE","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"CZE","SIGI","RESTRRESASSETS","IDX","A","2019",11.9,
"DNK","SIGI","DISCRIMFAMCODE","IDX","A","2019",15,
"DNK","SIGI","RESTRCIVLIB","IDX","A","2019",11,
"DNK","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"DNK","SIGI","RESTRRESASSETS","IDX","A","2019",4.8,
"FIN","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"FIN","SIGI","RESTRCIVLIB","IDX","A","2019",18.3,
"FIN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"FIN","SIGI","RESTRRESASSETS","IDX","A","2019",3.8,
"FRA","SIGI","TOT","IDX","A","2019",11.1,
"FRA","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.6,
"FRA","SIGI","RESTRCIVLIB","IDX","A","2019",5.3,
"FRA","SIGI","RESTRPHYSINTEG","IDX","A","2019",6,
"FRA","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"FRA","SIGI","RESTRRESASSETS","IDX","A","2019",3.6,
"DEU","SIGI","DISCRIMFAMCODE","IDX","A","2019",18.1,
"DEU","SIGI","RESTRCIVLIB","IDX","A","2019",14.3,
"DEU","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"DEU","SIGI","RESTRRESASSETS","IDX","A","2019",13.1,
"GRC","SIGI","DISCRIMFAMCODE","IDX","A","2019",45.1,
"GRC","SIGI","RESTRCIVLIB","IDX","A","2019",16.6,
"GRC","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"GRC","SIGI","RESTRRESASSETS","IDX","A","2019",33.3,
"HUN","SIGI","RESTRCIVLIB","IDX","A","2019",27.6,
"HUN","SIGI","RESTRPHYSINTEG","IDX","A","2019",17.1,
"HUN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"HUN","SIGI","RESTRRESASSETS","IDX","A","2019",23.4,
"ISL","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"ISL","SIGI","RESTRCIVLIB","IDX","A","2019",17.4,
"ISL","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"IRL","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"IRL","SIGI","RESTRCIVLIB","IDX","A","2019",11.8,
"IRL","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"IRL","SIGI","RESTRRESASSETS","IDX","A","2019",15.9,
"ITA","SIGI","TOT","IDX","A","2019",13.5,
"ITA","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"ITA","SIGI","RESTRCIVLIB","IDX","A","2019",8.9,
"ITA","SIGI","RESTRPHYSINTEG","IDX","A","2019",14.7,
"ITA","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"ITA","SIGI","RESTRRESASSETS","IDX","A","2019",8,
"JPN","SIGI","DISCRIMFAMCODE","IDX","A","2019",20.2,
"JPN","SIGI","RESTRCIVLIB","IDX","A","2019",24.8,
"JPN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"JPN","SIGI","RESTRRESASSETS","IDX","A","2019",29.6,
"KOR","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"KOR","SIGI","RESTRCIVLIB","IDX","A","2019",20.4,
"KOR","SIGI","RESTRRESASSETS","IDX","A","2014",40.76,
"KOR","SIGI","RESTRRESASSETS","IDX","A","2019",33,
"LUX","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.9,
"LUX","SIGI","RESTRCIVLIB","IDX","A","2019",8.1,
"LUX","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"LUX","SIGI","RESTRRESASSETS","IDX","A","2019",7.3,
"MEX","SIGI","DISCRIMFAMCODE","IDX","A","2019",60.4,
"MEX","SIGI","RESTRCIVLIB","IDX","A","2019",14.6,
"MEX","SIGI","RESTRPHYSINTEG","IDX","A","2019",15.6,
"MEX","SIGI","RESTRRESASSETS","IDX","A","2014",38.85,
"MEX","SIGI","RESTRRESASSETS","IDX","A","2019",17.5,
"NLD","SIGI","DISCRIMFAMCODE","IDX","A","2019",23.8,
"NLD","SIGI","RESTRCIVLIB","IDX","A","2019",21.1,
"NLD","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"NLD","SIGI","RESTRRESASSETS","IDX","A","2019",5,
"NZL","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.9,
"NZL","SIGI","RESTRCIVLIB","IDX","A","2019",22,
"NZL","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"NZL","SIGI","RESTRRESASSETS","IDX","A","2019",4.3,
"NOR","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.3,
"NOR","SIGI","RESTRCIVLIB","IDX","A","2019",19.5,
"NOR","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"NOR","SIGI","RESTRRESASSETS","IDX","A","2019",2.2,
"POL","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.9,
"POL","SIGI","RESTRCIVLIB","IDX","A","2019",12.5,
"POL","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"POL","SIGI","RESTRRESASSETS","IDX","A","2019",15.3,
"PRT","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"PRT","SIGI","RESTRCIVLIB","IDX","A","2019",11.4,
"PRT","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"PRT","SIGI","RESTRRESASSETS","IDX","A","2019",3.2,
"SVK","SIGI","DISCRIMFAMCODE","IDX","A","2019",26.5,
"SVK","SIGI","RESTRCIVLIB","IDX","A","2019",24.4,
"SVK","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"SVK","SIGI","RESTRRESASSETS","IDX","A","2019",7.5,
"ESP","SIGI","TOT","IDX","A","2019",14.3,
"ESP","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.7,
"ESP","SIGI","RESTRCIVLIB","IDX","A","2019",5.8,
"ESP","SIGI","RESTRPHYSINTEG","IDX","A","2019",11.7,
"ESP","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"ESP","SIGI","RESTRRESASSETS","IDX","A","2019",10.5,
"SWE","SIGI","DISCRIMFAMCODE","IDX","A","2019",15.1,
"SWE","SIGI","RESTRCIVLIB","IDX","A","2019",16.2,
"SWE","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"SWE","SIGI","RESTRRESASSETS","IDX","A","2019",2.1,
"CHE","SIGI","DISCRIMFAMCODE","IDX","A","2019",0.1,
"CHE","SIGI","RESTRCIVLIB","IDX","A","2019",6.5,
"CHE","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"CHE","SIGI","RESTRRESASSETS","IDX","A","2019",11.9,
"TUR","SIGI","TOT","IDX","A","2019",25.1,
